时间(s),电容(F),品质因素(Q)
0,1.86255e-11,-10585.8
0.0800043,1.83309e-11,4723.96
0.160009,1.8673e-11,4213.6
0.240013,1.85429e-11,-14101.6
0.320017,1.87692e-11,-969.544
0.400021,1.89355e-11,-4329.97
0.480026,1.84267e-11,3238.45
0.56003,1.87444e-11,-3118.87
0.640034,1.89473e-11,-2495.71
0.720038,1.864e-11,-2566.88
0.800043,1.87214e-11,-3520.67
0.880047,1.83585e-11,-2081.59
0.960051,1.87801e-11,-1025.21
1.04006,1.85357e-11,-3621.08
1.12006,1.86547e-11,-1807.69
1.20006,1.8787e-11,-439.187
1.28007,1.88351e-11,1401.03
1.36007,1.84494e-11,-4359.78
1.44008,1.83537e-11,-1248.88
1.52008,1.8569e-11,1215.73
1.60009,1.92128e-11,4421.62
1.68009,1.90187e-11,-42728.5
1.76009,1.87446e-11,-2319.72
1.8401,1.87061e-11,-1447.88
1.9201,1.85209e-11,10724.6
2.00011,1.86434e-11,7453.72
2.08011,1.90239e-11,-1163.46
2.16012,1.85838e-11,2890.09
2.24012,1.90826e-11,8188.43
2.32012,1.84798e-11,5459.78
2.40013,1.91529e-11,-941.68
2.48013,1.876e-11,-1053.32
2.56014,1.88039e-11,-2386.37
2.64014,1.88674e-11,5915.04
2.72015,1.86644e-11,960.449
2.80015,1.88455e-11,-47158.5
2.88015,1.89698e-11,23454.4
2.96016,1.96811e-11,2859.02
3.04016,1.89515e-11,-4632.91
3.12017,1.90598e-11,-910.23
3.20017,1.86988e-11,-57297.8
3.28017,1.89889e-11,717.386
3.36018,1.88067e-11,-1029.59
3.44018,1.86141e-11,1551.37
3.52019,1.88476e-11,-591.494
3.60019,1.85312e-11,-26515.2
3.6802,1.91988e-11,1376.91
3.7602,1.87795e-11,1368.32
3.8402,1.86216e-11,2702.29
3.92021,1.87672e-11,32879.2
4.00021,1.85233e-11,-1765.7
4.08022,1.89974e-11,-658.525
4.16022,1.89151e-11,8012.18
4.24023,1.83343e-11,-1264.39
4.32023,1.88486e-11,1219.12
4.40023,1.90298e-11,-2364.16
4.48024,1.864e-11,1724.61
4.56024,1.8707e-11,-1673.02
4.64025,1.87203e-11,2571.39
4.72025,1.89648e-11,-989.059
4.80026,1.89069e-11,-4272.34
4.88026,1.86066e-11,181254
4.96026,1.862e-11,1977.2
5.04027,1.88867e-11,-16762.9
5.12027,1.96313e-11,-1284.05
5.20028,1.93701e-11,-12431.8
5.28028,1.88951e-11,-1076.42
5.36029,1.87169e-11,-1064.76
5.44029,1.86692e-11,19961.7
5.52029,1.93001e-11,-2195.15
5.6003,1.84705e-11,1500.15
5.6803,1.88857e-11,-2477.21
5.76031,1.9115e-11,-2152.34
5.84031,1.9166e-11,-1920.32
5.92032,1.88162e-11,-13536.1
6.00032,1.94293e-11,-884.368
6.08032,1.94392e-11,-1483.54
6.16033,1.88082e-11,-2417.19
6.24033,1.8775e-11,-5855.09
6.32034,1.87659e-11,42318.9
6.40034,1.87125e-11,-1294.81
6.48035,1.90647e-11,-1286.64
6.56035,1.87292e-11,-28601.4
6.64035,1.85062e-11,-6090.68
6.72036,1.86767e-11,-8551.83
6.80036,1.8599e-11,-844.965
6.88037,1.86345e-11,-1213.64
6.96037,1.88103e-11,2141.73
7.04038,1.87975e-11,1106.35
7.12038,1.89878e-11,14375.5
7.20038,1.89833e-11,-4884.1
7.28039,1.89568e-11,3171.01
7.36039,1.87732e-11,6064.68
7.4404,1.86244e-11,-19313.5
7.5204,1.86465e-11,-5832.01
7.60041,1.88876e-11,-8156.44
7.68041,1.89976e-11,33037.6
7.76041,1.93198e-11,3347.61
7.84042,1.92403e-11,-1796.92
7.92042,1.89747e-11,-3458.78
8.00043,1.89e-11,-2638.6
8.08043,1.8852e-11,1429.35
8.16044,1.86418e-11,-1218.5
8.24044,1.87949e-11,1208.19
8.32044,1.85845e-11,-1564.96
8.40045,1.87441e-11,-18367.1
8.48045,1.89976e-11,-32946
8.56046,1.88667e-11,-3716.31
8.64046,1.89005e-11,2227.82
8.72047,1.91356e-11,-1517.29
8.80047,1.9026e-11,-735.355
8.88047,1.87549e-11,-4694.42
8.96048,1.89169e-11,6418.4
9.04048,1.87419e-11,-3010.34
9.12049,1.87508e-11,-16912
9.20049,1.92912e-11,-3870.39
9.28049,1.88339e-11,-744.862
9.3605,1.85469e-11,-3786.64
9.4405,1.91368e-11,971.323
9.52051,1.87665e-11,-2412.14
9.60051,1.87665e-11,-2306.35
9.68052,1.87558e-11,767.407
9.76052,1.86745e-11,-5053.76
9.84052,1.91272e-11,2909.11
9.92053,1.92571e-11,4752.09
10.0005,1.84371e-11,1433.51
10.0805,1.85536e-11,-6303.3
10.1605,1.86755e-11,106142
10.2405,1.9148e-11,-2297.32
10.3206,1.88458e-11,1849.45
10.4006,1.87416e-11,-975.65
10.4806,1.87542e-11,8998.59
10.5606,1.87775e-11,-80031.6
10.6406,1.87714e-11,2967.59
10.7206,1.87604e-11,-1226.53
10.8006,1.90567e-11,-3737.28
10.8806,1.86528e-11,-1199.23
10.9606,1.88641e-11,-1041.92
11.0406,1.86833e-11,-1138.49
11.1206,1.96119e-11,1600.06
11.2006,1.90132e-11,-2123.63
11.2806,1.86663e-11,1002.83
11.3606,1.89084e-11,-1845.58
