时间(s),电容(F),品质因素(Q)
0,2.53026e-11,133.168
0.0800107,2.25961e-11,129.795
0.160021,2.38023e-11,130.788
0.240032,2.54685e-11,130.359
0.320043,2.25606e-11,111.105
0.400053,2.43393e-11,164.451
0.480064,2.27079e-11,127.461
0.560075,2.23911e-11,141.103
0.640085,2.53275e-11,125.973
0.720096,2.25726e-11,136.209
0.800107,2.38768e-11,119.712
0.880117,2.48573e-11,147.894
0.960128,2.25103e-11,111.052
1.04014,2.49626e-11,122.81
1.12015,2.27277e-11,113.869
1.20016,2.25294e-11,117.939
1.28017,2.55963e-11,147.027
1.36018,2.25996e-11,128.131
1.44019,2.38587e-11,143.748
1.5202,2.48168e-11,136.651
1.60021,2.25332e-11,118.196
1.68022,2.44845e-11,140.338
1.76023,2.30906e-11,148.329
1.84025,2.24722e-11,123.224
1.92026,2.52519e-11,127.163
2.00027,2.26047e-11,119.315
2.08028,2.38228e-11,130.975
2.16029,2.51886e-11,119.442
2.2403,2.25001e-11,143.547
2.32031,2.4206e-11,144.77
2.40032,2.2828e-11,120.357
2.48033,2.24071e-11,114.457
2.56034,2.53966e-11,135.164
2.64035,2.26091e-11,126.853
2.72036,2.39993e-11,124.943
2.80037,2.47744e-11,155.538
2.88038,2.25078e-11,133.943
2.96039,2.49991e-11,137.209
3.04041,2.30479e-11,127.605
3.12042,2.23509e-11,121.204
3.20043,2.53112e-11,147.784
3.28044,2.25608e-11,115.348
3.36045,2.38849e-11,125.233
3.44046,2.48334e-11,145.635
3.52047,2.25358e-11,111.942
3.60048,2.46879e-11,132.082
3.68049,2.30642e-11,122.129
3.7605,2.24349e-11,111.66
3.84051,2.52766e-11,163.908
3.92052,2.25982e-11,138.493
4.00053,2.38678e-11,138.781
4.08054,2.53418e-11,130.222
4.16055,2.25406e-11,104.396
4.24057,2.41138e-11,146.487
4.32058,2.3051e-11,115.195
4.40059,2.24851e-11,129.345
4.4806,2.52987e-11,120.612
4.56061,2.25948e-11,138.755
4.64062,2.3912e-11,114.951
4.72063,2.49209e-11,145.394
4.80064,2.25182e-11,125.243
4.88065,2.475e-11,135.035
4.96066,2.27674e-11,134.104
5.04067,2.23913e-11,109.8
5.12068,2.53138e-11,152.744
5.20069,2.26167e-11,113.86
5.2807,2.38582e-11,115.099
5.36071,2.49974e-11,142.126
5.44073,2.24825e-11,116.72
5.52074,2.50493e-11,160.506
5.60075,2.2906e-11,125.453
5.68076,2.24002e-11,133.001
5.76077,2.53607e-11,153.248
5.84078,2.25888e-11,123.921
5.92079,2.38344e-11,129.575
6.0008,2.53875e-11,144.561
6.08081,2.25242e-11,133.468
6.16082,2.42022e-11,131.627
6.24083,2.40911e-11,108.933
6.32084,2.2457e-11,123.863
6.40085,2.5449e-11,132.245
6.48086,2.25887e-11,123.401
6.56087,2.34132e-11,116.694
6.64089,2.55786e-11,141.474
6.7209,2.25552e-11,125.075
6.80091,2.39872e-11,135.727
6.88092,2.4491e-11,133.877
6.96093,2.24911e-11,114.059
7.04094,2.53203e-11,156.067
7.12095,2.26273e-11,135.422
7.20096,2.28905e-11,121.021
7.28097,2.42473e-11,128.738
7.36098,2.2426e-11,134.251
7.44099,2.42194e-11,145.871
7.521,2.51536e-11,149.686
7.60101,2.24752e-11,131.433
7.68102,2.53338e-11,145.042
7.76103,2.26279e-11,127.286
7.84105,2.27828e-11,118.677
7.92106,2.49984e-11,121.736
8.00107,2.24999e-11,122.494
8.08108,2.45507e-11,124.621
8.16109,2.50923e-11,133.597
8.2411,2.24952e-11,121.09
8.32111,2.50283e-11,132.56
8.40112,2.27534e-11,120.769
8.48113,2.2565e-11,133.373
8.56114,2.54626e-11,137.272
8.64115,2.25523e-11,120.599
8.72116,2.57135e-11,121.282
8.80117,2.51846e-11,134.071
8.88118,2.2473e-11,116.846
8.96119,2.50968e-11,139.137
9.04121,2.26509e-11,114.318
9.12122,2.25692e-11,134.719
9.20123,2.45203e-11,120.158
9.28124,2.25085e-11,131.95
9.36125,2.54113e-11,141.01
9.44126,2.48264e-11,145.114
9.52127,2.24805e-11,120.829
9.60128,2.54304e-11,139.022
9.68129,2.26101e-11,116.533
9.7613,2.27889e-11,129.762
9.84131,2.30524e-11,113.963
9.92132,2.24693e-11,107.411
10.0013,2.41842e-11,166.137
10.0813,2.46948e-11,137.687
10.1614,2.24328e-11,116.902
10.2414,2.54502e-11,127.535
10.3214,2.25844e-11,129.57
10.4014,2.32938e-11,132.348
10.4814,2.45802e-11,126.031
10.5614,2.24517e-11,104.325
10.6414,2.41209e-11,113.437
10.7214,2.45895e-11,126.09
10.8014,2.24539e-11,103.547
10.8815,2.54313e-11,153.397
10.9615,2.25607e-11,108.673
11.0415,2.34991e-11,129.568
11.1215,2.51218e-11,135.254
11.2015,2.25251e-11,113.461
11.2815,2.4903e-11,169.03
11.3615,2.29483e-11,113.876
11.4415,2.23142e-11,112.107
11.5215,2.54032e-11,133.354
11.6015,2.26111e-11,121.314
11.6816,2.4625e-11,131.377
11.7616,2.4902e-11,142.343
11.8416,2.24916e-11,135.774
11.9216,2.51019e-11,182.82
12.0016,2.26276e-11,125.025
12.0816,2.24971e-11,141.463
12.1616,2.56638e-11,150.341
12.2416,2.25973e-11,105.947
12.3216,2.55823e-11,160.125
12.4017,2.51173e-11,153.712
12.4817,2.25067e-11,138.621
12.5617,2.52909e-11,158.095
12.6417,2.2601e-11,135.506
12.7217,2.29231e-11,129.418
12.8017,2.37912e-11,120.803
12.8817,2.23793e-11,136.39
12.9617,2.4145e-11,122.445
13.0417,2.3454e-11,134.508
13.1217,2.23593e-11,109.496
13.2018,2.55441e-11,131.975
13.2818,2.2636e-11,111.856
13.3618,2.31644e-11,136.43
13.4418,2.41119e-11,127.693
13.5218,2.24166e-11,138.588
