时间(s),电容(F),品质因素(Q)
0,2.44718e-11,147.674
0.0800107,2.34223e-11,97.5549
0.160021,2.36997e-11,95.4422
0.240032,2.45708e-11,104.908
0.320043,2.21979e-11,130.976
0.400053,2.48562e-11,117.34
0.480064,2.22841e-11,145.473
0.560075,2.31262e-11,150.05
0.640085,2.23743e-11,110.946
0.720096,2.4368e-11,150.429
0.800107,2.24251e-11,114.391
0.880117,2.42925e-11,169.918
0.960128,2.21107e-11,109.655
1.04014,2.29002e-11,131.082
1.12015,2.30781e-11,104.147
1.20016,2.38889e-11,122.309
1.28017,2.26559e-11,114.989
1.36018,2.30849e-11,119.178
1.44019,2.48594e-11,172.46
1.5202,2.25739e-11,127.482
1.60021,2.33657e-11,130.583
1.68022,2.23877e-11,96.0816
1.76023,2.44151e-11,114.466
1.84025,2.2221e-11,118.04
1.92026,2.29961e-11,160.184
2.00027,2.24925e-11,105.31
2.08028,2.51876e-11,131.73
2.16029,2.25514e-11,106.806
2.2403,2.301e-11,148.749
2.32031,2.24072e-11,128.78
2.40032,2.30243e-11,97.9343
2.48033,2.33997e-11,127.588
2.56034,2.44968e-11,128.145
2.64035,2.26639e-11,122.07
2.72036,2.25255e-11,115.511
2.80037,2.36935e-11,133.058
2.88038,2.257e-11,112.973
2.96039,2.43406e-11,134.283
3.04041,2.25447e-11,123.265
3.12042,2.43986e-11,132.912
3.20043,2.23301e-11,139.725
3.28044,2.31835e-11,116.334
3.36045,2.24844e-11,123.974
3.44046,2.27984e-11,109.403
3.52047,2.34217e-11,113.812
3.60048,2.43347e-11,191.256
3.68049,2.51751e-11,144.287
3.7605,2.25476e-11,101.846
3.84051,2.32208e-11,107.653
3.92052,2.25578e-11,100.471
4.00053,2.55625e-11,166.049
4.08054,2.24252e-11,106.23
4.16055,2.50866e-11,116.451
4.24057,2.25479e-11,130.935
4.32058,2.27923e-11,106.352
4.40059,2.3807e-11,153.543
4.4806,2.44653e-11,112.659
4.56061,2.36695e-11,109.84
4.64062,2.45861e-11,168.88
4.72063,2.49991e-11,131.99
4.80064,2.26801e-11,111.161
4.88065,2.50647e-11,141.756
4.96066,2.23949e-11,87.3695
5.04067,2.44642e-11,116.642
5.12068,2.24603e-11,122.974
5.20069,2.54228e-11,119.798
5.2807,2.21743e-11,125.586
5.36071,2.31094e-11,122.265
5.44073,2.23016e-11,138.38
5.52074,2.48207e-11,106.8
5.60075,2.23981e-11,107.482
5.68076,2.38994e-11,253.073
5.76077,2.23289e-11,114.791
5.84078,2.29972e-11,141.146
5.92079,2.26817e-11,145.197
6.0008,2.38942e-11,126.379
6.08081,2.35026e-11,117.219
6.16082,2.46103e-11,129.593
6.24083,2.553e-11,118.319
6.32084,2.23331e-11,116.284
6.40085,2.39903e-11,162.217
6.48086,2.24017e-11,143.879
6.56087,2.35203e-11,108.702
6.64089,2.22419e-11,191.859
6.7209,2.39836e-11,114.199
6.80091,2.22953e-11,94.93
6.88092,2.32745e-11,137.386
6.96093,2.22459e-11,108.046
7.04094,2.47018e-11,120.555
7.12095,2.21846e-11,112.144
7.20096,2.3067e-11,126.548
7.28097,2.25303e-11,119.015
7.36098,2.2689e-11,110.875
7.44099,2.26966e-11,131.888
7.521,2.44574e-11,111.091
7.60101,2.53228e-11,110.776
7.68102,2.24995e-11,129.076
7.76103,2.30778e-11,170.799
7.84105,2.20122e-11,89.7249
7.92106,2.54863e-11,125.306
8.00107,2.21783e-11,103.653
8.08108,2.326e-11,110.935
8.16109,2.23518e-11,131.923
8.2411,2.49486e-11,165.372
8.32111,2.24413e-11,131.389
8.40112,2.31869e-11,144.484
8.48113,2.25071e-11,110.941
8.56114,2.40336e-11,120.326
8.64115,2.22908e-11,126.203
8.72116,2.23549e-11,133.55
8.80117,2.46071e-11,135.287
8.88118,2.25036e-11,122.735
8.96119,2.30686e-11,110.019
9.04121,2.21198e-11,127.358
9.12122,2.5063e-11,140.62
9.20123,2.23225e-11,115.52
9.28124,2.32736e-11,124.045
9.36125,2.2231e-11,118.194
9.44126,2.44826e-11,145.865
9.52127,2.21513e-11,132.205
9.60128,2.28207e-11,104.254
9.68129,2.28518e-11,131.39
9.7613,2.44732e-11,138.939
9.84131,2.3057e-11,126.758
9.92132,2.25771e-11,115.821
10.0013,2.43182e-11,129.026
10.0813,2.24604e-11,117.571
10.1614,2.33724e-11,132.547
10.2414,2.24134e-11,119.49
10.3214,2.30122e-11,118.174
10.4014,2.23943e-11,108.488
10.4814,2.49367e-11,119.529
10.5614,2.26108e-11,123.268
10.6414,2.30315e-11,115.205
10.7214,2.24342e-11,131.508
10.8014,2.41498e-11,120.067
10.8815,2.28919e-11,116.476
10.9615,2.28493e-11,118.936
11.0415,2.45994e-11,133.701
11.1215,2.23736e-11,125.606
11.2015,2.40412e-11,132.945
11.2815,2.20851e-11,107.463
11.3615,2.42108e-11,128.702
11.4415,2.21976e-11,114.059
11.5215,2.35942e-11,138.362
11.6015,2.21231e-11,131.6
11.6816,2.27088e-11,111.446
11.7616,2.36614e-11,135.579
11.8416,2.4489e-11,138.419
11.9216,2.40132e-11,107.995
12.0016,2.2484e-11,128.836
12.0816,2.34926e-11,130.532
12.1616,2.24791e-11,119.241
12.2416,2.35483e-11,139.406
12.3216,2.20553e-11,116.038
12.4017,2.41049e-11,106.698
12.4817,2.21123e-11,101.71
12.5617,2.30136e-11,114.192
12.6417,2.21599e-11,130.382
12.7217,2.31175e-11,137.465
12.8017,2.25638e-11,136.659
12.8817,2.40627e-11,129.972
12.9617,2.27295e-11,130.292
13.0417,2.23475e-11,148.867
13.1217,2.40744e-11,146.851
13.2018,2.2446e-11,125.79
13.2818,2.34318e-11,109.219
13.3618,2.24001e-11,134.717
13.4418,2.36722e-11,82.799
13.5218,2.2083e-11,102.936
13.6018,2.36254e-11,112.819
13.6818,2.21727e-11,161.732
13.7618,2.46158e-11,140.682
13.8418,2.28966e-11,153.716
13.9219,2.25939e-11,140.465
14.0019,2.34264e-11,156.454
14.0819,2.22743e-11,109.313
14.1619,2.40722e-11,144.04
14.2419,2.24087e-11,123.201
14.3219,2.47077e-11,139.239
14.4019,2.23376e-11,124.314
14.4819,2.35565e-11,123.753
14.5619,2.29398e-11,97.968
14.642,2.43846e-11,112.949
14.722,2.45447e-11,143.212
14.802,2.24953e-11,130.539
14.882,2.33139e-11,124.26
14.962,2.22516e-11,104.791
15.042,2.48234e-11,146.591
15.122,2.22563e-11,138.187
15.202,2.46364e-11,147.599
15.282,2.23921e-11,132.268
15.362,2.36184e-11,123.01
15.4421,2.2716e-11,132.232
15.5221,2.26628e-11,124.135
15.6021,2.46851e-11,156.058
15.6821,2.24217e-11,137.062
15.7621,2.36098e-11,131.216
15.8421,2.23418e-11,130.564
15.9221,2.44555e-11,159.153
16.0021,2.2131e-11,105.391
16.0821,2.46709e-11,146.458
16.1622,2.23411e-11,114.026
16.2422,2.36306e-11,114.13
16.3222,2.25874e-11,113.03
16.4022,2.38485e-11,121.658
16.4822,2.27066e-11,127.803
16.5622,2.2746e-11,124.605
16.6422,2.50677e-11,128.982
16.7222,2.24487e-11,130.161
16.8022,2.30298e-11,121.721
16.8823,2.22397e-11,109.097
16.9623,2.47873e-11,101.67
17.0423,2.21923e-11,107.64
17.1223,2.47062e-11,138.128
17.2023,2.22335e-11,99.7369
17.2823,2.43136e-11,109.721
17.3623,2.38229e-11,141.036
17.4423,2.2556e-11,121.879
17.5223,2.35548e-11,150.548
17.6023,2.22846e-11,117
17.6824,2.38324e-11,122.207
17.7624,2.21859e-11,146.429
17.8424,2.36833e-11,123.651
17.9224,2.22292e-11,120.699
18.0024,2.32716e-11,124.693
18.0824,2.24308e-11,100.05
18.1624,2.39257e-11,96.456
18.2424,2.26785e-11,117.353
18.3224,2.26152e-11,129.615
18.4025,2.29699e-11,135.699
18.4825,2.22794e-11,104.519
18.5625,2.54439e-11,115.855
18.6425,2.2224e-11,108.989
18.7225,2.46088e-11,112.661
18.8025,2.22603e-11,121.128
18.8825,2.28794e-11,133.565
18.9625,2.23703e-11,105.658
19.0425,2.42759e-11,153.18
19.1225,2.45946e-11,107.428
19.2026,2.25186e-11,112.495
19.2826,2.30824e-11,113.484
19.3626,2.2255e-11,133.246
19.4426,2.51163e-11,146.02
19.5226,2.22644e-11,136.993
19.6026,2.4553e-11,127.22
19.6826,2.23596e-11,129.505
19.7626,2.30804e-11,138.77
19.8426,2.31698e-11,111.206
19.9227,2.25474e-11,124.211
20.0027,2.51902e-11,136.18
20.0827,2.2553e-11,119.066
20.1627,2.279e-11,141.545
20.2427,2.22848e-11,126.706
20.3227,2.48584e-11,151.707
20.4027,2.2302e-11,114.811
20.4827,2.45089e-11,107.388
20.5627,2.23398e-11,137.838
20.6428,2.31348e-11,118.484
20.7228,2.30932e-11,97.8599
20.8028,2.2592e-11,110.202
20.8828,2.37937e-11,128.066
20.9628,2.2445e-11,119.985
21.0428,2.41618e-11,143.312
21.1228,2.21747e-11,119.815
21.2028,2.45518e-11,130.689
21.2828,2.22982e-11,136.043
21.3628,2.3778e-11,131.6
21.4429,2.26783e-11,145.911
21.5229,2.27143e-11,137.988
21.6029,2.43393e-11,134.283
21.6829,2.22164e-11,113.469
21.7629,2.53016e-11,135.313
21.8429,2.2234e-11,106.59
21.9229,2.40052e-11,132.645
22.0029,2.23961e-11,133.507
22.0829,2.37444e-11,114.982
22.163,2.2848e-11,122.893
22.243,2.26205e-11,140.197
22.323,2.34091e-11,111.186
22.403,2.23527e-11,138.455
22.483,2.47135e-11,117.597
22.563,2.22776e-11,101.436
22.643,2.45427e-11,112.172
22.723,2.24086e-11,115.048
22.803,2.45665e-11,123.641
22.8831,2.26728e-11,103.334
22.9631,2.37942e-11,110.029
23.0431,2.45168e-11,122.532
23.1231,2.24989e-11,108.494
23.2031,2.44056e-11,144.867
23.2831,2.24194e-11,119.873
23.3631,2.5151e-11,133.683
23.4431,2.2352e-11,126.212
23.5231,2.43146e-11,120.903
23.6031,2.42441e-11,110.906
23.6832,2.26273e-11,131.693
23.7632,2.5404e-11,122.594
23.8432,2.24316e-11,112.272
23.9232,2.42437e-11,135.42
24.0032,2.52703e-11,127.409
24.0832,2.24142e-11,121.455
24.1632,2.44204e-11,151.443
24.2432,2.3255e-11,133.234
24.3232,2.24801e-11,109.325
24.4033,2.50062e-11,146.479
24.4833,2.56824e-11,128.564
24.5633,2.33984e-11,111.694
24.6433,2.46823e-11,164.75
24.7233,2.46171e-11,121.319
24.8033,2.53845e-11,137.284
24.8833,2.35021e-11,123.703
24.9633,2.51854e-11,119.301
25.0433,2.49188e-11,158.262
25.1233,2.5806e-11,126.685
25.2034,2.28324e-11,106.868
25.2834,2.34901e-11,127.861
25.3634,2.57539e-11,154.143
25.4434,2.4157e-11,97.2134
25.5234,2.24782e-11,120.327
25.6034,2.47547e-11,116.458
25.6834,2.565e-11,144.573
25.7634,2.25033e-11,138.047
25.8434,2.4621e-11,179.608
25.9235,2.57848e-11,142.094
26.0035,2.36395e-11,115.522
26.0835,2.25026e-11,115.465
26.1635,2.52987e-11,149.585
26.2435,2.53872e-11,149.124
26.3235,2.26483e-11,103.915
26.4035,2.45509e-11,123.895
26.4835,2.5658e-11,123.385
26.5635,2.27443e-11,136.391
26.6436,2.40399e-11,124.222
