时间(s),电容(F),品质因素(Q)
0,2.43046e-11,135.173
0.0800053,2.13307e-11,112.169
0.160011,2.12606e-11,114.847
0.240016,2.12065e-11,129.595
0.320021,2.27948e-11,121.746
0.400027,2.38453e-11,138.433
0.480032,2.39023e-11,129.715
0.560037,2.43636e-11,123.356
0.640043,2.1831e-11,145.873
0.720048,2.12483e-11,117.777
0.800053,2.12354e-11,108.287
0.880059,2.16353e-11,130.71
0.960064,2.37477e-11,107.985
1.04007,2.37282e-11,118.06
1.12007,2.55133e-11,143.493
1.20008,2.407e-11,140.354
1.28009,2.13341e-11,126.434
1.36009,2.12543e-11,102.283
1.4401,2.11967e-11,102.541
1.5201,2.22277e-11,134.596
1.60011,2.37662e-11,132.999
1.68011,2.39371e-11,137.719
1.76012,2.42324e-11,105.64
1.84012,2.19546e-11,126.46
1.92013,2.12661e-11,109.759
2.00013,2.12273e-11,135.786
2.08014,2.12589e-11,98.3167
2.16014,2.39816e-11,143.611
2.24015,2.37366e-11,161.037
2.32015,2.51536e-11,109.989
2.40016,2.41546e-11,123.574
2.48017,2.12896e-11,139.111
2.56017,2.12227e-11,111.004
2.64018,2.12258e-11,96.7906
2.72018,2.21326e-11,125.221
2.80019,2.37152e-11,135.499
2.88019,2.3852e-11,105.493
2.9602,2.42827e-11,110.906
3.0402,2.16995e-11,122.171
3.12021,2.12532e-11,136.969
3.20021,2.12266e-11,146.349
3.28022,2.17245e-11,121.149
3.36022,2.35791e-11,133.363
3.44023,2.37215e-11,68.3256
3.52023,2.46103e-11,126.212
3.60024,2.20195e-11,133.948
3.68025,2.13826e-11,143.929
3.76025,2.12903e-11,131.855
3.84026,2.12162e-11,146.305
3.92026,2.34287e-11,177.56
4.00027,2.38708e-11,107.95
4.08027,2.36775e-11,130.629
4.16028,2.47511e-11,131.974
4.24028,2.41141e-11,128.946
4.32029,2.13138e-11,137.6
4.40029,2.12744e-11,101.602
4.4803,2.12317e-11,102.558
4.5603,2.21513e-11,108.23
4.64031,2.36603e-11,117.907
4.72031,2.37144e-11,77.2423
4.80032,2.46333e-11,109.621
4.88033,2.41852e-11,141.593
4.96033,2.12936e-11,91.6357
5.04034,2.12639e-11,126.22
5.12034,2.11866e-11,129.729
5.20035,2.21587e-11,108.278
5.28035,2.36638e-11,113.763
5.36036,2.39904e-11,157.326
5.44036,2.37346e-11,111.85
