时间(s),电容(F),品质因素(Q)
0,3.08592e-11,126.844
0.0800053,2.78464e-11,157.613
0.160011,2.36392e-11,118.266
0.240016,2.33394e-11,126.5
0.320021,2.37577e-11,117.26
0.400027,3.04717e-11,137.439
0.480032,3.04402e-11,147.323
0.560037,2.75088e-11,131.309
0.640043,2.53752e-11,125.962
0.720048,2.32016e-11,114.376
0.800053,3.00216e-11,134.588
0.880059,2.72853e-11,146.873
0.960064,2.39343e-11,123.353
1.04007,2.33255e-11,109.905
1.12007,2.32411e-11,139.086
1.20008,3.04854e-11,187.298
1.28009,2.88343e-11,150.627
1.36009,2.65031e-11,125.959
1.4401,2.35432e-11,129.675
1.5201,2.33551e-11,136.607
1.60011,2.40098e-11,122.546
1.68011,3.00411e-11,130.79
1.76012,2.92058e-11,152.343
1.84012,2.3731e-11,120.251
1.92013,2.34093e-11,134.369
2.00013,2.32434e-11,113.743
2.08014,3.19219e-11,145.989
2.16014,3.11851e-11,169.768
2.24015,2.94408e-11,144.029
2.32015,2.37648e-11,121.96
2.40016,2.33486e-11,117.541
2.48017,2.3228e-11,111.831
2.56017,3.1879e-11,155.132
2.64018,2.60633e-11,135.7
2.72018,2.49125e-11,108.579
2.80019,2.33816e-11,124.252
2.88019,2.33144e-11,126.88
2.9602,2.56407e-11,133.185
3.0402,2.98636e-11,162.715
3.12021,2.73549e-11,148.553
3.20021,2.36023e-11,107.72
3.28022,2.34072e-11,134.358
3.36022,2.51237e-11,133.386
3.44023,2.92131e-11,162.088
3.52023,2.88736e-11,138.053
3.60024,2.37438e-11,124.704
3.68025,2.33408e-11,112.254
3.76025,2.3306e-11,137.369
3.84026,2.90552e-11,165.259
3.92026,3.09309e-11,159.693
4.00027,3.03724e-11,136.341
4.08027,2.6091e-11,143.648
4.16028,2.49831e-11,128.567
4.24028,2.32108e-11,113.03
4.32029,3.01216e-11,124.207
4.40029,2.72141e-11,126.953
4.4803,2.43248e-11,117.741
4.5603,2.34364e-11,115.067
4.64031,2.32745e-11,122.968
4.72031,2.75025e-11,175.455
4.80032,3.08375e-11,161.685
4.88033,3.01675e-11,140.682
4.96033,2.63751e-11,144.151
5.04034,2.40652e-11,127.506
5.12034,2.31889e-11,114.138
5.20035,2.88847e-11,137.71
5.28035,2.92351e-11,136.983
5.36036,2.63657e-11,130.94
5.44036,2.55939e-11,122.31
5.52037,2.32137e-11,126.865
5.60037,3.46073e-11,128.833
5.68038,2.65193e-11,118.893
5.76038,2.44717e-11,123.157
5.84039,2.3418e-11,106.646
5.92039,2.32445e-11,110.713
6.0004,2.96734e-11,129.598
6.08041,2.61703e-11,134.363
6.16041,2.51554e-11,131.436
6.24042,2.36258e-11,175.469
6.32042,2.33744e-11,119.906
6.40043,2.59592e-11,119.507
6.48043,3.08757e-11,149.063
6.56044,2.86002e-11,133.699
6.64044,2.44408e-11,98.4456
6.72045,2.34574e-11,130.496
6.80045,2.31733e-11,116.773
6.88046,2.91492e-11,157.975
6.96046,2.87976e-11,143.721
7.04047,2.36992e-11,130.114
7.12047,2.38913e-11,135.976
7.20048,2.32265e-11,116.248
7.28049,3.44218e-11,140.422
7.36049,2.67445e-11,128.738
7.4405,2.54842e-11,145.233
7.5205,2.35057e-11,150.025
7.60051,2.33476e-11,112.176
7.68051,2.3626e-11,139.363
7.76052,3.08506e-11,155.076
7.84052,3.0093e-11,166.428
7.92053,2.63833e-11,115.368
8.00053,2.62633e-11,121.662
8.08054,2.3279e-11,100.187
8.16054,3.44065e-11,166.247
8.24055,2.60133e-11,125.292
8.32055,2.53392e-11,108.062
8.40056,2.38389e-11,119.411
8.48057,2.33266e-11,117.965
8.56057,2.45936e-11,112.858
8.64058,3.10665e-11,155.203
8.72058,3.03474e-11,147.635
8.80059,2.76137e-11,141.124
8.88059,2.70767e-11,133.438
8.9606,2.33007e-11,116.298
9.0406,3.44821e-11,136.716
9.12061,2.76797e-11,143.605
9.20061,2.708e-11,137.435
9.28062,2.36361e-11,125.126
9.36062,2.33709e-11,131.381
9.44063,2.36591e-11,120.615
9.52063,3.08756e-11,184.148
9.60064,2.91283e-11,128.886
9.68065,2.37099e-11,148.812
9.76065,2.34795e-11,114.731
9.84066,2.41868e-11,121.521
9.92066,2.99245e-11,172.047
10.0007,2.98671e-11,133.589
10.0807,2.65841e-11,132.339
10.1607,2.57084e-11,133.89
10.2407,2.32073e-11,116.718
10.3207,3.45526e-11,151.588
10.4007,2.66521e-11,127.803
10.4807,2.41717e-11,107.714
10.5607,2.33531e-11,121.58
10.6407,2.32866e-11,129.707
10.7207,3.1209e-11,147.77
10.8007,2.72591e-11,124.939
10.8807,2.55157e-11,141.095
10.9607,2.34575e-11,123.617
11.0407,2.33063e-11,110.54
11.1207,2.43005e-11,148.831
11.2007,3.09607e-11,147.059
11.2808,2.89492e-11,144.639
11.3608,2.41658e-11,124.006
11.4408,2.35212e-11,121.489
11.5208,2.32966e-11,128.349
11.6008,2.95171e-11,131.834
11.6808,3.03986e-11,141.441
11.7608,2.47532e-11,98.6849
11.8408,2.35766e-11,138.538
11.9208,2.32158e-11,137.869
12.0008,2.91869e-11,130.128
12.0808,2.71665e-11,131.299
