时间(s),电容(F),品质因素(Q)
0,2.51137e-11,107.919
0.0800053,2.51094e-11,101.11
0.160011,2.23586e-11,106.064
0.240016,2.22601e-11,108.138
0.320021,2.5387e-11,117.858
0.400027,2.49542e-11,157.714
0.480032,2.37413e-11,148.671
0.560037,2.23027e-11,131.842
0.640043,2.43968e-11,140.496
0.720048,2.51141e-11,144.696
0.800053,2.33026e-11,156.396
0.880059,2.23426e-11,157.458
0.960064,2.22887e-11,115.708
1.04007,2.54717e-11,111.997
1.12007,2.49129e-11,113.325
1.20008,2.27125e-11,105.08
1.28009,2.22957e-11,102.22
1.36009,2.54926e-11,165.279
1.4401,2.51809e-11,181.048
1.5201,2.26736e-11,128.976
1.60011,2.24409e-11,107.063
1.68011,2.22777e-11,110.037
1.76012,2.54219e-11,138.509
1.84012,2.48528e-11,140.674
1.92013,2.25927e-11,131.051
2.00013,2.23133e-11,95.7957
2.08014,2.53914e-11,171.24
2.16014,2.51935e-11,178.906
2.24015,2.27343e-11,99.5328
2.32015,2.23167e-11,182.463
2.40016,2.22591e-11,171.235
2.48017,2.586e-11,114.768
2.56017,2.48387e-11,123.544
2.64018,2.27016e-11,113.012
2.72018,2.23683e-11,102.492
2.80019,2.49805e-11,146.074
2.88019,2.52718e-11,133.004
2.9602,2.52694e-11,177.086
3.0402,2.25845e-11,142.585
3.12021,2.23308e-11,133.608
3.20021,2.54565e-11,124.949
3.28022,2.50634e-11,158.653
3.36022,2.48933e-11,102.433
3.44023,2.22741e-11,113.374
3.52023,2.25743e-11,153.813
3.60024,2.52487e-11,148.421
3.68025,2.54462e-11,154.732
3.76025,2.25738e-11,139.148
3.84026,2.23376e-11,117.209
3.92026,2.60803e-11,154.763
4.00027,2.51596e-11,177.593
4.08027,2.66124e-11,167.592
4.16028,2.23765e-11,114.393
4.24028,2.22869e-11,151.97
4.32029,2.58119e-11,128.992
4.40029,2.49191e-11,177.819
4.4803,2.26039e-11,106.229
4.5603,2.23431e-11,115.512
4.64031,2.59855e-11,172.849
4.72031,2.53023e-11,101.38
4.80032,2.65649e-11,128.732
4.88033,2.23862e-11,121.602
4.96033,2.22536e-11,163.698
5.04034,2.56803e-11,178.114
5.12034,2.485e-11,158.53
5.20035,2.26581e-11,111.463
5.28035,2.22936e-11,121.825
5.36036,2.52291e-11,103.569
5.44036,2.51774e-11,122.115
5.52037,2.26243e-11,100.456
5.60037,2.23814e-11,105.916
5.68038,2.22707e-11,100.051
5.76038,2.54119e-11,169.437
5.84039,2.4838e-11,161.741
5.92039,2.24855e-11,130.448
6.0004,2.23963e-11,127.71
6.08041,2.53945e-11,126.85
6.16041,2.54854e-11,112.958
6.24042,2.47756e-11,130.878
6.32042,2.23478e-11,149.899
6.40043,2.22441e-11,112.165
6.48043,2.59601e-11,155.016
6.56044,2.51686e-11,117.004
6.64044,2.67126e-11,112.024
6.72045,2.23583e-11,160.631
6.80045,2.2222e-11,113.295
6.88046,2.52431e-11,145.778
6.96046,2.49951e-11,178.053
7.04047,2.37439e-11,150.692
7.12047,2.23012e-11,98.8548
7.20048,2.31838e-11,104.543
7.28049,2.57108e-11,183.988
7.36049,2.52426e-11,220.794
7.4405,2.2625e-11,117.847
7.5205,2.23055e-11,156.02
7.60051,2.61032e-11,131.873
7.68051,2.51863e-11,111.378
7.76052,2.69183e-11,124.939
7.84052,2.23445e-11,112.282
7.92053,2.22611e-11,107.143
8.00053,2.52899e-11,156.777
8.08054,2.49149e-11,134.475
8.16054,2.25222e-11,115.653
8.24055,2.23454e-11,163.138
8.32055,2.51251e-11,123.922
8.40056,2.51897e-11,174.689
8.48057,2.37859e-11,134.44
8.56057,2.23594e-11,126.173
8.64058,2.23113e-11,146.582
8.72058,2.6263e-11,125.88
8.80059,2.50558e-11,124.517
8.88059,2.3818e-11,152.411
8.9606,2.23536e-11,108.489
9.0406,2.32231e-11,129.556
9.12061,2.58152e-11,147.128
9.20061,2.49168e-11,131.983
9.28062,2.26112e-11,108.635
9.36062,2.23993e-11,103.423
9.44063,2.54303e-11,174.699
9.52063,2.52085e-11,129.699
9.60064,2.41072e-11,131.084
9.68065,2.2432e-11,128.023
9.76065,2.23146e-11,147.964
9.84066,2.52696e-11,112.314
9.92066,2.50574e-11,109.942
10.0007,2.49322e-11,108.709
10.0807,2.23046e-11,139.759
10.1607,2.22897e-11,129.39
10.2407,2.53905e-11,146.515
10.3207,2.49762e-11,102.974
10.4007,2.36675e-11,110.535
10.4807,2.23449e-11,158.901
10.5607,2.33815e-11,150.357
10.6407,2.51793e-11,130.491
10.7207,2.27665e-11,149.176
10.8007,2.23543e-11,159.067
10.8807,2.22664e-11,98.8949
10.9607,2.53054e-11,108.684
11.0407,2.49464e-11,129.352
11.1207,2.35265e-11,117.028
11.2007,2.2358e-11,104.841
11.2808,2.30435e-11,157.669
11.3608,2.56362e-11,111.493
11.4408,2.48518e-11,144.499
11.5208,2.26171e-11,98.702
11.6008,2.23803e-11,151.475
11.6808,2.59773e-11,118.676
11.7608,2.502e-11,127.109
11.8408,2.61729e-11,104.008
11.9208,2.23979e-11,117.42
12.0008,2.22827e-11,101.008
12.0808,2.56016e-11,167.19
12.1608,2.49233e-11,165.209
12.2408,2.2755e-11,129.978
12.3208,2.24172e-11,123.77
12.4008,2.40361e-11,143.919
12.4808,2.56013e-11,163.833
12.5608,2.50814e-11,130.161
12.6408,2.25871e-11,106.464
12.7208,2.24072e-11,120.313
12.8009,2.55768e-11,159.735
12.8809,2.51324e-11,162.372
12.9609,2.7032e-11,171.975
13.0409,2.24551e-11,129.966
13.1209,2.2339e-11,139.827
13.2009,2.60311e-11,123.516
13.2809,2.49053e-11,106.854
13.3609,2.25666e-11,100.545
13.4409,2.23918e-11,154.599
13.5209,2.32412e-11,173.827
13.6009,2.5373e-11,127.609
13.6809,2.48072e-11,142.635
13.7609,2.24669e-11,128.828
13.8409,2.24044e-11,116.018
13.9209,2.52523e-11,114.26
14.0009,2.53554e-11,197.102
14.0809,2.30789e-11,140.018
14.1609,2.23706e-11,99.7931
14.2409,2.23414e-11,111.442
14.321,2.6263e-11,170.526
14.401,2.50707e-11,106.699
14.481,2.58851e-11,172.706
14.561,2.23971e-11,156.287
14.641,2.22352e-11,131.002
14.721,2.58132e-11,162.254
14.801,2.48438e-11,146.795
14.881,2.27094e-11,115.357
14.961,2.24305e-11,120.178
15.041,2.56791e-11,145.525
15.121,2.53935e-11,172.848
15.201,2.277e-11,129.685
15.281,2.23637e-11,108.611
15.361,2.22889e-11,181.297
15.441,2.58671e-11,158.562
15.521,2.48904e-11,105.001
15.601,2.27963e-11,145.608
15.681,2.23699e-11,136.7
15.7611,2.33523e-11,126.156
15.8411,2.5542e-11,119.488
15.9211,2.49909e-11,195.371
16.0011,2.26879e-11,116.812
16.0811,2.23608e-11,157.943
16.1611,2.56846e-11,132.785
16.2411,2.55027e-11,112.985
16.3211,2.58204e-11,169.848
16.4011,2.24508e-11,98.9088
16.4811,2.23626e-11,99.6519
16.5611,2.62196e-11,155.808
16.6411,2.51085e-11,109.878
16.7211,2.58957e-11,163.692
16.8011,2.2415e-11,124.965
16.8811,2.23378e-11,125.178
16.9611,2.5578e-11,160.238
17.0411,2.49092e-11,111.734
17.1211,2.25964e-11,137.701
17.2011,2.24287e-11,136.808
17.2812,2.33715e-11,118.048
17.3612,2.57017e-11,145.221
17.4412,2.48787e-11,145.62
17.5212,2.27452e-11,123.85
17.6012,2.23776e-11,128.999
17.6812,2.53932e-11,126.141
17.7612,2.55952e-11,160.363
17.8412,2.57626e-11,122.296
17.9212,2.25783e-11,130.861
18.0012,2.2391e-11,101.766
18.0812,2.5836e-11,121.647
18.1612,2.50995e-11,119.16
18.2412,2.62015e-11,117.162
18.3212,2.24052e-11,105.781
18.4012,2.22739e-11,151.199
18.4812,2.5589e-11,127.207
18.5612,2.51067e-11,149.432
18.6412,2.4568e-11,146.769
18.7212,2.23663e-11,113.116
18.8013,2.25618e-11,118.471
18.8813,2.57811e-11,117
18.9613,2.48866e-11,117.122
19.0413,2.28152e-11,113.763
19.1213,2.24268e-11,144.434
19.2013,2.42842e-11,131.022
19.2813,2.53684e-11,149.339
19.3613,2.49805e-11,139.455
19.4413,2.26396e-11,107.71
19.5213,2.24323e-11,132.823
19.6013,2.63512e-11,115.164
19.6813,2.5273e-11,144.489
19.7613,2.61195e-11,128.353
19.8413,2.24508e-11,111.939
19.9213,2.23447e-11,122.531
20.0013,2.55096e-11,121.56
20.0813,2.51606e-11,140.865
20.1613,2.62997e-11,138.193
20.2413,2.23704e-11,106.037
20.3214,2.23026e-11,110.498
20.4014,2.51918e-11,155.182
20.4814,2.49291e-11,130.984
20.5614,2.25063e-11,98.289
20.6414,2.23567e-11,106.902
20.7214,2.59492e-11,159.025
20.8014,2.52236e-11,141.741
20.8814,2.68132e-11,122.184
20.9614,2.24001e-11,113.692
21.0414,2.23222e-11,164.22
21.1214,2.52398e-11,132.561
21.2014,2.48556e-11,108.44
21.2814,2.25555e-11,156.423
21.3614,2.23608e-11,113.444
21.4414,2.53084e-11,171.347
21.5214,2.52349e-11,115.294
21.6014,2.28465e-11,111.468
21.6814,2.24488e-11,127.211
21.7615,2.23141e-11,109.436
21.8415,2.5742e-11,178.67
21.9215,2.48872e-11,134.225
22.0015,2.26981e-11,129.137
22.0815,2.24386e-11,114.033
22.1615,2.48623e-11,145.044
22.2415,2.54356e-11,138.19
22.3215,2.44945e-11,123.178
22.4015,2.24455e-11,121.522
22.4815,2.23367e-11,111.455
22.5615,2.52334e-11,116.978
22.6415,2.50348e-11,120.288
22.7215,2.62046e-11,143.457
22.8015,2.2408e-11,125.551
