时间(s),电容(F),品质因素(Q)
0,2.41924e-11,112.498
0.0800107,2.60126e-11,140.042
0.160021,2.85815e-11,3.22084
0.240032,2.59729e-11,158.66
0.320043,2.65088e-11,131.425
0.400053,2.78009e-11,179.187
0.480064,2.78354e-11,130.24
0.560075,2.65322e-11,127.161
0.640085,2.61717e-11,130.037
0.720096,2.46108e-11,137.285
0.800107,2.46447e-11,132.364
0.880117,2.55815e-11,135.807
0.960128,2.5635e-11,134.571
1.04014,2.82323e-11,142.874
1.12015,2.75272e-11,165.803
1.20016,2.80677e-11,143.017
1.28017,2.59685e-11,142.243
1.36018,2.56397e-11,128.83
1.44019,2.46358e-11,123.857
1.5202,2.62503e-11,116.004
1.60021,2.5464e-11,119.141
1.68022,2.60253e-11,130.004
1.76023,2.59574e-11,126.071
1.84025,2.77773e-11,120.969
1.92026,2.78406e-11,161.885
2.00027,2.64143e-11,124.64
2.08028,2.66167e-11,156.105
2.16029,2.41967e-11,153.538
2.2403,2.58896e-11,140.456
2.32031,2.85694e-11,3.2743
2.40032,2.57098e-11,117.387
2.48033,2.82906e-11,126.234
2.56034,2.76212e-11,141.392
2.64035,2.77856e-11,178.532
2.72036,2.63164e-11,178.071
2.80037,2.59716e-11,120.748
2.88038,2.47065e-11,164.66
2.96039,2.48478e-11,105.483
3.04041,2.72367e-11,4.78904
3.12042,2.67729e-11,188.431
3.20043,2.64367e-11,114.249
3.28044,2.79866e-11,121.102
3.36045,2.75808e-11,154.349
3.44046,2.70569e-11,182.504
3.52047,2.7834e-11,161.557
3.60048,2.43557e-11,109.115
3.68049,2.62819e-11,113.886
3.7605,2.53592e-11,119.779
3.84051,2.62164e-11,133.659
3.92052,2.64281e-11,129.184
4.00053,2.79402e-11,135.921
4.08054,2.78655e-11,134.769
4.16055,2.68164e-11,120.228
4.24057,2.70806e-11,118.302
4.32058,2.42164e-11,137.312
4.40059,2.58519e-11,156.484
4.4806,3.88264e-11,1.43176
4.56061,2.56991e-11,149.519
4.64062,2.82534e-11,181.222
