时间(s),电容(F),品质因素(Q)
0,2.95275e-11,149.474
0.0800107,2.87854e-11,165.49
0.160021,2.86411e-11,156.752
0.240032,2.7451e-11,159.136
0.320043,2.79155e-11,172.356
0.400053,2.46788e-11,148.536
0.480064,2.69295e-11,160.545
0.560075,2.58811e-11,165.464
0.640085,2.84958e-11,148.842
0.720096,2.83097e-11,170.212
0.800107,2.95946e-11,159.678
0.880117,2.69512e-11,158.165
0.960128,2.62143e-11,116.164
1.04014,2.46903e-11,124.766
1.12015,2.56216e-11,193.337
1.20016,2.68296e-11,150.722
1.28017,2.71192e-11,153.424
1.36018,2.7371e-11,128.065
1.44019,2.91012e-11,159.475
1.5202,2.86673e-11,148.622
1.60021,2.63928e-11,121.776
1.68022,2.49392e-11,134.034
1.76023,2.60527e-11,134.271
1.84025,2.57724e-11,137.889
1.92026,2.66114e-11,136.879
2.00027,2.76067e-11,168.829
2.08028,2.92374e-11,139.997
2.16029,2.87717e-11,132.324
2.2403,2.66924e-11,146.096
2.32031,2.46022e-11,116.562
2.40032,2.68766e-11,118.355
2.48033,2.57797e-11,119.657
2.56034,2.63493e-11,154.084
2.64035,2.67176e-11,125.122
2.72036,2.86246e-11,147.081
2.80037,2.8312e-11,125.712
2.88038,2.79199e-11,125.938
2.96039,2.87941e-11,137.314
3.04041,2.41556e-11,108.029
3.12042,2.68698e-11,151.918
3.20043,2.58256e-11,146.326
3.28044,2.80853e-11,171.507
3.36045,2.82271e-11,156.156
3.44046,2.96059e-11,154.375
3.52047,2.81255e-11,148.748
3.60048,2.61805e-11,162.274
3.68049,2.48637e-11,128.755
3.7605,2.48348e-11,148.541
3.84051,2.6154e-11,129.755
3.92052,2.67611e-11,136.1
4.00053,2.74702e-11,132.472
4.08054,2.91103e-11,161.145
4.16055,2.88305e-11,163.004
4.24057,2.70283e-11,146.233
4.32058,2.40602e-11,142.169
4.40059,2.66281e-11,125.851
4.4806,2.5784e-11,136.695
4.56061,2.60717e-11,119.373
4.64062,2.96836e-11,168.233
4.72063,2.87309e-11,127.331
4.80064,2.86983e-11,155.302
4.88065,2.79255e-11,142.858
4.96066,2.87909e-11,125.097
5.04067,2.43413e-11,112.592
5.12068,2.68737e-11,166.368
5.20069,2.59395e-11,134.507
5.2807,2.92221e-11,154.057
5.36071,2.86777e-11,131.071
5.44073,2.88964e-11,135.805
5.52074,2.71258e-11,134.662
5.60075,2.6039e-11,162.269
5.68076,2.44981e-11,146.974
5.76077,2.62186e-11,129.28
5.84078,2.67544e-11,18.3322
5.92079,2.83469e-11,143.184
6.0008,2.86767e-11,174.205
6.08081,2.93647e-11,133.736
6.16082,2.67189e-11,148.528
6.24083,2.62136e-11,143.296
6.32084,2.47529e-11,118.112
6.40085,2.50876e-11,120.019
6.48086,2.60968e-11,122.826
6.56087,2.69076e-11,139.473
6.64089,2.73689e-11,162.956
6.7209,2.93837e-11,164.318
6.80091,2.83854e-11,158.09
6.88092,2.65619e-11,136.076
6.96093,2.40585e-11,140.549
7.04094,2.6848e-11,147.687
7.12095,2.61948e-11,134.956
7.20096,2.66916e-11,146.736
7.28097,2.69416e-11,160.557
7.36098,2.85908e-11,129.183
7.44099,2.8304e-11,125.435
7.521,2.70651e-11,128.474
7.60101,2.4195e-11,124.992
7.68102,2.66813e-11,121.461
7.76103,2.62154e-11,127.386
7.84105,2.60573e-11,115.274
7.92106,2.90365e-11,123.655
8.00107,2.85491e-11,147.62
8.08108,2.87308e-11,154.593
8.16109,2.78202e-11,125.467
8.2411,2.82657e-11,135.932
8.32111,2.4648e-11,122.551
8.40112,2.70023e-11,127.756
8.48113,2.6021e-11,130.677
8.56114,2.97138e-11,155.99
8.64115,2.8727e-11,167.676
8.72116,2.85781e-11,163.685
8.80117,2.73876e-11,124.023
8.88118,2.7244e-11,139.493
8.96119,2.44622e-11,119.246
9.04121,2.67288e-11,162.148
9.12122,2.62315e-11,140.834
9.20123,2.67381e-11,126.583
9.28124,2.74338e-11,154.972
9.36125,2.88619e-11,144.636
9.44126,2.83306e-11,136.402
9.52127,2.79007e-11,140.119
9.60128,2.85964e-11,154.738
9.68129,2.40825e-11,126.732
9.7613,2.69887e-11,143.874
9.84131,2.60032e-11,150.084
