时间(s),电容(F),品质因素(Q)
0,2.51042e-11,118.122
0.0800053,2.52493e-11,124.409
0.160011,2.17981e-11,141.288
0.240016,2.41819e-11,138.307
0.320021,2.44994e-11,201.077
0.400027,2.20076e-11,123.832
0.480032,2.17131e-11,118.896
0.560037,2.4709e-11,134.414
0.640043,2.3602e-11,115.308
0.720048,2.17527e-11,106.348
0.800053,2.48605e-11,124.028
0.880059,2.48259e-11,150.418
0.960064,2.19259e-11,131.411
1.04007,2.17672e-11,112.495
1.12007,2.56551e-11,157.379
1.20008,2.42164e-11,122.119
1.28009,2.17018e-11,110.886
1.36009,2.4711e-11,125.419
1.4401,2.50362e-11,134.082
1.5201,2.18044e-11,127.885
1.60011,2.43215e-11,119.086
1.68011,2.48138e-11,128.819
1.76012,2.19794e-11,124.581
1.84012,2.14201e-11,139.673
1.92013,2.48735e-11,124.264
2.00013,2.36597e-11,117.813
2.08014,2.17856e-11,119.227
2.16014,2.48151e-11,130.836
2.24015,2.48238e-11,119.758
2.32015,2.18645e-11,122.269
2.40016,2.25221e-11,127.625
2.48017,2.54232e-11,120.98
2.56017,2.3837e-11,131.8
2.64018,2.17478e-11,107.61
2.72018,2.49927e-11,125.923
2.80019,2.47301e-11,117.92
2.88019,2.17811e-11,102.161
2.9602,2.46202e-11,117.405
3.0402,2.45816e-11,140.426
3.12021,2.19447e-11,135.89
3.20021,2.16754e-11,95.598
3.28022,2.5115e-11,150.643
3.36022,2.44032e-11,124.87
3.44023,2.17344e-11,136.15
3.52023,2.45753e-11,150.738
3.60024,2.49057e-11,133.511
3.68025,2.18283e-11,131.06
3.76025,2.21904e-11,129.452
3.84026,2.48955e-11,106.742
3.92026,2.27375e-11,102.737
4.00027,2.17075e-11,140.831
4.08027,2.50978e-11,151.459
4.16028,2.43924e-11,128.373
4.24028,2.17779e-11,117.581
4.32029,2.48421e-11,162.108
4.40029,2.47955e-11,134.783
4.4803,2.18934e-11,140.3
4.5603,2.26615e-11,156.521
4.64031,2.56043e-11,108.677
4.72031,2.37549e-11,117.053
4.80032,2.17488e-11,107.857
4.88033,2.50682e-11,146.977
4.96033,2.46822e-11,134.28
5.04034,2.18057e-11,103.432
5.12034,2.38452e-11,123.291
5.20035,2.5228e-11,135.78
5.28035,2.35624e-11,137.744
5.36036,2.17632e-11,108.665
5.44036,2.5021e-11,149.714
5.52037,2.48013e-11,150.991
5.60037,2.1826e-11,104.32
5.68038,2.43658e-11,113.767
5.76038,2.49952e-11,140.229
5.84039,2.19275e-11,112.949
5.92039,2.17849e-11,135.236
6.0004,2.52351e-11,132.737
6.08041,2.42044e-11,125.216
6.16041,2.17585e-11,137.973
6.24042,2.45403e-11,126.329
6.32042,2.48532e-11,152.419
6.40043,2.18996e-11,119.514
6.48043,2.26833e-11,136.453
6.56044,2.54502e-11,139.625
6.64044,2.29862e-11,119.519
6.72045,2.17029e-11,125.522
6.80045,2.51476e-11,113.451
6.88046,2.51723e-11,116.478
6.96046,2.17933e-11,137.502
7.04047,2.51192e-11,149.363
7.12047,2.453e-11,121.766
7.20048,2.19368e-11,106.32
7.28049,2.20125e-11,129.482
7.36049,2.53898e-11,137.186
7.4405,2.40601e-11,111.634
7.5205,2.17252e-11,134.606
7.60051,2.4962e-11,122.114
7.68051,2.50723e-11,117.337
7.76052,2.18398e-11,113.272
7.84052,2.38431e-11,119.139
7.92053,2.48122e-11,125.507
8.00053,2.20179e-11,118.912
8.08054,2.15537e-11,136.093
8.16054,2.4753e-11,184.015
8.24055,2.44242e-11,162.759
8.32055,2.175e-11,112.517
8.40056,2.45807e-11,161.269
8.48057,2.48955e-11,115.768
8.56057,2.18746e-11,132.1
8.64058,2.24432e-11,118.567
8.72058,2.44851e-11,130.533
8.80059,2.21903e-11,99.8945
8.88059,2.16962e-11,104.926
8.9606,2.51672e-11,127.732
9.0406,2.52386e-11,125.591
9.12061,2.17829e-11,127.4
9.20061,2.47615e-11,120.432
9.28062,2.47671e-11,139.175
9.36062,2.18901e-11,109.483
9.44063,2.18886e-11,141.916
9.52063,2.55612e-11,155.517
9.60064,2.41142e-11,146.189
9.68065,2.17323e-11,120.889
9.76065,2.49042e-11,144.325
9.84066,2.48752e-11,138.973
9.92066,2.1792e-11,105.644
10.0007,2.44697e-11,118.362
10.0807,2.48903e-11,133.602
10.1607,2.18468e-11,109.983
10.2407,2.2512e-11,130.423
10.3207,2.55678e-11,132.709
10.4007,2.39374e-11,146.352
10.4807,2.17444e-11,130.199
10.5607,2.45838e-11,133.471
10.6407,2.4924e-11,126.122
10.7207,2.18339e-11,102.609
10.8007,2.23788e-11,141.056
10.8807,2.53857e-11,144.516
10.9607,2.3208e-11,112.181
11.0407,2.17209e-11,154.613
11.1207,2.51635e-11,134.908
11.2007,2.46855e-11,119.088
11.2808,2.1754e-11,111.442
11.3608,2.50656e-11,118.205
11.4408,2.50922e-11,165.445
11.5208,2.19779e-11,114.194
11.6008,2.18894e-11,113.044
11.6808,2.50983e-11,119.084
11.7608,2.49625e-11,127.974
11.8408,2.17697e-11,114.405
11.9208,2.50931e-11,136.745
12.0008,2.44484e-11,140.03
12.0808,2.19311e-11,135.61
12.1608,2.17247e-11,112.169
12.2408,2.53606e-11,127.142
12.3208,2.3372e-11,143.334
12.4008,2.17423e-11,114.982
12.4808,2.50286e-11,136.995
12.5608,2.47405e-11,140.585
12.6408,2.18116e-11,112.531
12.7208,2.37285e-11,108.374
12.8009,2.44903e-11,131.087
12.8809,2.19701e-11,143.066
12.9609,2.18552e-11,103.069
13.0409,2.51499e-11,111.744
13.1209,2.41045e-11,134.044
13.2009,2.17295e-11,112.531
13.2809,2.46606e-11,151.271
13.3609,2.48812e-11,136.82
13.4409,2.18676e-11,112.728
13.5209,2.21428e-11,113.911
13.6009,2.41504e-11,122.423
13.6809,2.20403e-11,111.58
13.7609,2.14749e-11,104.282
13.8409,2.51687e-11,141.724
13.9209,2.43421e-11,175.015
14.0009,2.17136e-11,137.532
14.0809,2.45231e-11,155.483
14.1609,2.48244e-11,117.406
14.2409,2.18559e-11,106.635
14.321,2.38233e-11,160.84
14.401,2.44278e-11,162.749
14.481,2.29011e-11,142.521
14.561,2.17436e-11,112.72
14.641,2.51233e-11,139.846
14.721,2.44315e-11,122.861
14.801,2.17743e-11,105.127
14.881,2.44531e-11,124.704
14.961,2.48075e-11,144.609
15.041,2.19247e-11,111.22
15.121,2.1929e-11,104.688
15.201,2.54499e-11,149.07
15.281,2.26406e-11,146.62
15.361,2.17256e-11,107.398
15.441,2.51672e-11,127.942
15.521,2.48234e-11,137.808
15.601,2.18068e-11,115.596
15.681,2.47776e-11,139.301
15.7611,2.52977e-11,139.233
15.8411,2.19225e-11,141.731
15.9211,2.18739e-11,104.388
16.0011,2.50466e-11,137.441
16.0811,2.40334e-11,142.403
16.1611,2.17542e-11,127.573
16.2411,2.45923e-11,119.314
16.3211,2.50067e-11,131.997
16.4011,2.18131e-11,145.568
16.4811,2.37568e-11,112.241
16.5611,2.46193e-11,122.162
16.6411,2.20561e-11,123.62
16.7211,2.17167e-11,107.69
16.8011,2.51053e-11,152.293
16.8811,2.3512e-11,132.272
16.9611,2.17366e-11,105.253
