时间(s),电容(F),品质因素(Q)
0,1.00554e-11,347.61
0.0800043,1.02165e-11,1396.45
0.160009,7.94362e-12,245.266
0.240013,1.19815e-11,420.394
0.320017,1.31717e-11,496.389
0.400021,1.22411e-11,336.651
0.480026,1.11931e-11,824.679
0.56003,1.06566e-11,572.909
0.640034,1.02288e-11,855.291
0.720038,9.70225e-12,1259.37
0.800043,1.19353e-11,277.963
0.880047,1.18168e-11,821.356
0.960051,1.06633e-11,421.273
1.04006,1.11681e-11,266.542
1.12006,1.09495e-11,187.289
1.20006,1.00632e-11,299.965
1.28007,1.10768e-11,395.315
1.36007,1.20537e-11,277.96
1.44008,1.2484e-11,524.691
1.52008,1.18361e-11,644.939
1.60009,1.06121e-11,360.308
1.68009,9.6982e-12,181.235
1.76009,1.16624e-11,420.315
1.8401,1.20618e-11,615.688
1.9201,1.2276e-11,445.448
2.00011,1.28201e-11,283.263
2.08011,1.2184e-11,311.301
2.16012,1.06623e-11,677.892
2.24012,8.80103e-12,407.291
2.32012,1.16949e-11,350.953
2.40013,1.25278e-11,552.928
2.48013,1.16653e-11,705.829
2.56014,1.03216e-11,710.643
2.64014,1.12918e-11,206.814
2.72015,1.0521e-11,303.207
2.80015,1.19272e-11,283.913
2.88015,1.21859e-11,591.469
2.96016,1.14892e-11,384.062
3.04016,1.10667e-11,751.555
3.12017,9.83383e-12,337.244
3.20017,1.03141e-11,913.011
3.28017,7.84952e-12,363.284
3.36018,1.22288e-11,396.187
3.44018,1.36646e-11,518.191
3.52019,1.13727e-11,494.567
3.60019,1.07304e-11,360.282
3.6802,1.05789e-11,-377.935
3.7602,9.93712e-12,696.89
3.8402,1.12044e-11,367.881
3.92021,1.11781e-11,970.974
4.00021,1.22845e-11,1338.05
4.08022,1.18317e-11,378.026
4.16022,1.08972e-11,270.829
4.24023,9.70993e-12,458.701
4.32023,1.01004e-11,-850.38
4.40023,1.09609e-11,309.232
4.48024,1.20111e-11,591.217
4.56024,1.20783e-11,455.359
4.64025,1.22192e-11,732.808
4.72025,1.10663e-11,402.329
4.80026,1.01446e-11,592.399
4.88026,1.02446e-11,239.697
4.96026,1.09759e-11,243.758
5.04027,1.17228e-11,513.653
5.12027,1.26967e-11,888.604
5.20028,1.22529e-11,467.712
5.28028,1.06503e-11,459.185
5.36029,8.7156e-12,419.914
5.44029,1.11461e-11,512.018
5.52029,1.15778e-11,347.493
5.6003,1.06388e-11,267.771
5.6803,1.24486e-11,740.009
5.76031,1.06596e-11,345.464
5.84031,1.03361e-11,517.133
5.92032,1.00339e-11,352.712
6.00032,1.17257e-11,635.535
6.08032,1.17784e-11,736.359
6.16033,1.14201e-11,334.615
6.24033,1.0008e-11,1159.28
6.32034,1.07092e-11,311.516
6.40034,7.92786e-12,437.971
6.48035,1.21648e-11,298.894
6.56035,1.38109e-11,281.847
6.64035,1.30925e-11,549.579
6.72036,1.23406e-11,410.109
6.80036,1.08681e-11,806.291
6.88037,9.86545e-12,404.834
6.96037,1.15457e-11,254.293
7.04038,1.21014e-11,247.353
7.12038,1.12628e-11,968.169
7.20038,1.20861e-11,669.2
7.28039,1.12409e-11,552.706
7.36039,1.07169e-11,1711.2
7.4404,9.71089e-12,486.772
7.5204,1.11389e-11,846.524
7.60041,1.14546e-11,473.654
7.68041,1.23032e-11,558.903
7.76041,1.17098e-11,260.705
7.84042,1.06665e-11,438.563
7.92042,1.06661e-11,300.192
8.00043,1.00553e-11,310.618
8.08043,1.27121e-11,-552.356
8.16044,1.31054e-11,1317.74
8.24044,1.11359e-11,2502.99
8.32044,1.17769e-11,-2502.46
8.40045,1.11738e-11,273.778
8.48045,1.11179e-11,216.255
8.56046,1.02351e-11,323.361
8.64046,1.17326e-11,1978.83
8.72047,1.21007e-11,344.195
8.80047,1.09011e-11,298.273
8.88047,1.11449e-11,379.427
8.96048,9.94241e-12,290.763
9.04048,9.33563e-12,238.159
9.12049,9.11428e-12,-456.044
9.20049,1.182e-11,242.699
9.28049,1.19939e-11,260.004
9.3605,1.25131e-11,437.9
