时间(s),电容(F),品质因素(Q)
0,2.5201e-11,127.989
0.0800107,2.43737e-11,120.78
0.160021,2.56264e-11,130.667
0.240032,2.53837e-11,117.089
0.320043,2.36949e-11,112.284
0.400053,2.40981e-11,123.932
0.480064,2.50644e-11,120.412
0.560075,2.59162e-11,116.329
0.640085,2.46689e-11,137.054
0.720096,2.35595e-11,127.742
0.800107,2.36297e-11,125.338
0.880117,2.52804e-11,128.849
0.960128,2.57118e-11,168.494
1.04014,2.41148e-11,136.73
1.12015,2.45096e-11,128.87
1.20016,2.35081e-11,118.103
1.28017,2.5138e-11,123.319
1.36018,2.42843e-11,117.832
1.44019,2.47272e-11,119.393
1.5202,2.43241e-11,110.821
1.60021,2.37672e-11,121.621
1.68022,2.54807e-11,117.627
1.76023,2.44355e-11,126.557
1.84025,2.43313e-11,116.718
1.92026,2.49981e-11,125.478
2.00027,2.37448e-11,134.763
2.08028,2.4502e-11,138.352
2.16029,2.45058e-11,115.893
2.2403,2.43878e-11,111.283
2.32031,2.45439e-11,116.68
2.40032,2.41488e-11,116.525
2.48033,2.41588e-11,126.573
2.56034,2.47534e-11,121.812
2.64035,2.40481e-11,121.712
2.72036,2.51479e-11,127.52
2.80037,2.62108e-11,126.813
2.88038,2.33915e-11,135.672
2.96039,2.54352e-11,124.06
3.04041,2.52348e-11,134.686
3.12042,2.43308e-11,118.483
3.20043,2.42919e-11,136.566
3.28044,2.38116e-11,113.194
3.36045,2.46191e-11,129.204
3.44046,2.45589e-11,134.897
3.52047,2.44713e-11,125.643
3.60048,2.47276e-11,117.022
3.68049,2.38887e-11,120.034
3.7605,2.43988e-11,126.858
3.84051,2.54111e-11,132.143
3.92052,2.55961e-11,119.631
4.00053,2.45843e-11,141.249
4.08054,2.35988e-11,124.741
4.16055,2.39849e-11,123.948
4.24057,2.46807e-11,137.678
4.32058,2.41124e-11,129.27
4.40059,2.49634e-11,135.138
4.4806,2.49836e-11,118.65
4.56061,2.34699e-11,134.649
4.64062,2.53411e-11,122.466
4.72063,2.53672e-11,128.928
4.80064,2.40179e-11,121.751
4.88065,2.40457e-11,109.878
4.96066,2.38372e-11,121.555
5.04067,2.50558e-11,143.687
5.12068,2.5101e-11,123.087
5.20069,2.62703e-11,120.507
5.2807,2.38055e-11,126.568
5.36071,2.35933e-11,112.042
5.44073,2.3539e-11,127.104
5.52074,2.50194e-11,130.208
5.60075,2.39164e-11,128.145
5.68076,2.39658e-11,121.249
5.76077,2.51862e-11,136.945
5.84078,2.35071e-11,114.918
5.92079,2.5315e-11,127.666
6.0008,2.49995e-11,139.886
6.08081,2.41964e-11,119.166
6.16082,2.39884e-11,131.4
6.24083,2.38651e-11,125.026
6.32084,2.51267e-11,126.659
6.40085,2.43927e-11,122.444
6.48086,2.45247e-11,132.212
6.56087,2.45059e-11,108.533
6.64089,2.39356e-11,120.698
6.7209,2.37708e-11,112.743
6.80091,2.46256e-11,128.36
6.88092,2.47591e-11,118.229
6.96093,2.38944e-11,126.548
7.04094,2.40539e-11,115.178
7.12095,2.35268e-11,131.554
7.20096,2.51848e-11,130.541
7.28097,2.62765e-11,121.795
7.36098,2.39743e-11,126.525
7.44099,2.37206e-11,119.272
7.521,2.40321e-11,118.917
7.60101,2.46966e-11,122.007
7.68102,2.416e-11,132.944
7.76103,2.54603e-11,114.449
7.84105,2.4735e-11,125.368
7.92106,2.34178e-11,127.163
8.00107,2.51535e-11,143.072
8.08108,2.39997e-11,116.45
8.16109,2.504e-11,114.066
8.2411,2.52473e-11,150.269
8.32111,2.36283e-11,121.264
8.40112,2.49271e-11,165.702
8.48113,2.42257e-11,143.87
8.56114,2.47352e-11,125.954
8.64115,2.582e-11,124.055
8.72116,2.35631e-11,120.898
8.80117,2.43661e-11,133.306
8.88118,2.47108e-11,122.231
8.96119,2.44722e-11,135.542
9.04121,2.43025e-11,139.144
9.12122,2.5193e-11,141.537
9.20123,2.41121e-11,110.305
9.28124,2.46774e-11,126.824
9.36125,2.39318e-11,116.819
9.44126,2.49892e-11,134.396
9.52127,2.44416e-11,115.885
9.60128,2.35479e-11,112.143
9.68129,2.48044e-11,144.374
9.7613,2.4647e-11,116.74
9.84131,2.51241e-11,140.095
9.92132,2.39154e-11,119.87
10.0013,2.41285e-11,119.598
10.0813,2.39709e-11,130.318
10.1614,2.554e-11,123.496
10.2414,2.58943e-11,126.333
10.3214,2.42692e-11,144.151
10.4014,2.36113e-11,134.045
10.4814,2.39282e-11,151.708
10.5614,2.53839e-11,118.194
10.6414,2.49961e-11,118.984
10.7214,2.43176e-11,122.224
10.8014,2.37283e-11,116.615
10.8815,2.40889e-11,141.09
10.9615,2.53173e-11,133.033
11.0415,2.56003e-11,148.009
11.1215,2.42144e-11,129.682
11.2015,2.44357e-11,118.884
11.2815,2.38864e-11,116.224
11.3615,2.45638e-11,119.72
11.4415,2.44491e-11,117.402
11.5215,2.58546e-11,125.338
11.6015,2.54126e-11,137.123
11.6816,2.37004e-11,117.017
11.7616,2.54202e-11,129.33
11.8416,2.40919e-11,114.127
11.9216,2.51094e-11,120.588
12.0016,2.52739e-11,139.041
12.0816,2.38197e-11,119.075
12.1616,2.40879e-11,118.007
12.2416,2.51623e-11,159.676
12.3216,2.59693e-11,145.18
12.4017,2.39039e-11,119.139
