时间(s),电容(F),品质因素(Q)
0,2.5778e-11,119.27
0.0800107,2.34326e-11,127.1
0.160021,2.38345e-11,125.755
0.240032,2.53126e-11,135.754
0.320043,2.49274e-11,124.151
0.400053,2.50914e-11,139.491
0.480064,2.4141e-11,122.853
0.560075,2.4164e-11,113.603
0.640085,2.51552e-11,140.853
0.720096,2.6014e-11,133.206
0.800107,2.50524e-11,119.593
0.880117,2.47137e-11,133.014
0.960128,2.36387e-11,123.493
1.04014,2.4302e-11,132.808
1.12015,2.50042e-11,143.228
1.20016,2.51452e-11,120.78
1.28017,2.50279e-11,134.258
1.36018,2.4449e-11,134.977
1.44019,2.4467e-11,140.092
1.5202,2.46702e-11,136.409
1.60021,2.58157e-11,134.519
1.68022,2.47704e-11,133.49
1.76023,2.51646e-11,124.768
1.84025,2.38303e-11,138.828
1.92026,2.41887e-11,125.853
2.00027,2.46736e-11,129.133
2.08028,2.57908e-11,120.871
2.16029,2.50838e-11,135.889
2.2403,2.52785e-11,127.479
2.32031,2.34801e-11,112.694
2.40032,2.42276e-11,143.087
2.48033,2.5297e-11,131.596
2.56034,2.53714e-11,149.764
2.64035,2.5101e-11,124.187
2.72036,2.41383e-11,141.593
2.80037,2.4618e-11,123.226
2.88038,2.53117e-11,129.029
2.96039,2.58058e-11,127.189
3.04041,2.56904e-11,155.783
3.12042,2.53913e-11,123.815
3.20043,2.45168e-11,128.818
3.28044,2.47783e-11,135.566
3.36045,2.45663e-11,135.707
3.44046,2.59481e-11,132.893
3.52047,2.56788e-11,111.481
3.60048,2.47763e-11,137.711
3.68049,2.36328e-11,120.974
3.7605,2.41432e-11,123.116
3.84051,2.54241e-11,117.419
3.92052,2.5155e-11,124.45
4.00053,2.46333e-11,145.423
4.08054,2.55863e-11,149.824
4.16055,2.34115e-11,129.85
4.24057,2.42616e-11,123.702
4.32058,2.52557e-11,140.665
4.40059,2.52063e-11,119.108
4.4806,2.56108e-11,134.341
4.56061,2.43525e-11,113.595
4.64062,2.42996e-11,134.006
4.72063,2.53155e-11,124.819
4.80064,2.57807e-11,142.908
4.88065,2.44946e-11,128.882
4.96066,2.54575e-11,136.458
5.04067,2.45877e-11,125.341
5.12068,2.4659e-11,120.032
5.20069,2.4944e-11,123.062
5.2807,2.59035e-11,137.752
5.36071,2.54807e-11,135.201
5.44073,2.54228e-11,137.225
5.52074,2.43869e-11,117.276
5.60075,2.44446e-11,107.64
5.68076,2.46807e-11,124.462
5.76077,2.60255e-11,126.031
5.84078,2.57844e-11,133.243
5.92079,2.4743e-11,122.168
6.0008,2.36042e-11,121.854
6.08081,2.42216e-11,121.693
6.16082,2.50021e-11,162.546
6.24083,2.53126e-11,121.585
6.32084,2.48916e-11,127.672
6.40085,2.53162e-11,121.91
6.48086,2.3483e-11,122.169
6.56087,2.42926e-11,131.92
6.64089,2.54279e-11,121.79
6.7209,2.51733e-11,117.402
6.80091,2.54093e-11,124.946
6.88092,2.46379e-11,114.134
6.96093,2.43272e-11,130.525
7.04094,2.42139e-11,126.085
7.12095,2.51615e-11,125.72
7.20096,2.51435e-11,127.885
7.28097,2.47765e-11,140.205
7.36098,2.59761e-11,129
7.44099,2.33909e-11,129.804
7.521,2.39644e-11,122.269
7.60101,2.54169e-11,131.223
7.68102,2.53256e-11,148.001
7.76103,2.50771e-11,126.61
7.84105,2.45819e-11,117.544
7.92106,2.44289e-11,132.967
8.00107,2.44814e-11,135.263
8.08108,2.51351e-11,127.231
8.16109,2.53102e-11,121.156
8.2411,2.48177e-11,137.35
8.32111,2.4784e-11,117.3
8.40112,2.43344e-11,128.633
8.48113,2.51054e-11,141.566
8.56114,2.56927e-11,139.529
8.64115,2.50387e-11,115.366
8.72116,2.51091e-11,137.059
8.80117,2.44089e-11,122.597
8.88118,2.38922e-11,129.983
8.96119,2.49756e-11,135.222
9.04121,2.57882e-11,147.449
9.12122,2.45115e-11,123.52
9.20123,2.53184e-11,128.487
9.28124,2.38002e-11,137.731
9.36125,2.41879e-11,126.637
9.44126,2.48916e-11,137.586
9.52127,2.52266e-11,131.638
9.60128,2.44298e-11,117.124
9.68129,2.58605e-11,129.712
9.7613,2.34231e-11,121.813
9.84131,2.4124e-11,118.483
9.92132,2.53899e-11,130.495
10.0013,2.55236e-11,145.045
10.0813,2.49412e-11,131.849
10.1614,2.43647e-11,130.683
10.2414,2.46676e-11,126.709
10.3214,2.50713e-11,132.968
10.4014,2.55237e-11,121.776
10.4814,2.47689e-11,124.647
10.5614,2.52027e-11,128.8
10.6414,2.47064e-11,129.041
10.7214,2.46651e-11,124.155
10.8014,2.47692e-11,121.617
10.8815,2.57215e-11,136.221
10.9615,2.4505e-11,130.395
11.0415,2.52599e-11,117.873
11.1215,2.40219e-11,121.559
11.2015,2.43251e-11,127.663
11.2815,2.46543e-11,133.853
11.3615,2.55816e-11,138.966
11.4415,2.53102e-11,122.92
11.5215,2.53069e-11,125.719
11.6015,2.34025e-11,128.685
11.6816,2.42307e-11,115.017
11.7616,2.50764e-11,122.774
11.8416,2.54958e-11,127.457
11.9216,2.47772e-11,129.758
12.0016,2.45598e-11,127.825
12.0816,2.44612e-11,130.955
12.1616,2.47916e-11,122.869
12.2416,2.59097e-11,139.95
12.3216,2.44854e-11,129.62
12.4017,2.52601e-11,120.359
12.4817,2.37628e-11,116.621
12.5617,2.40249e-11,118.367
12.6417,2.47061e-11,116.671
12.7217,2.59713e-11,128.284
12.8017,2.45678e-11,135.21
12.8817,2.46798e-11,138.526
12.9617,2.38209e-11,113.066
13.0417,2.43493e-11,119.185
13.1217,2.4687e-11,127.36
13.2018,2.53452e-11,116.031
13.2818,2.46251e-11,133.898
13.3618,2.50468e-11,128.774
13.4418,2.33761e-11,120.689
13.5218,2.43205e-11,134.866
13.6018,2.50422e-11,127.179
13.6818,2.51995e-11,126.577
13.7618,2.53373e-11,122.751
13.8418,2.58658e-11,126.062
13.9219,2.34362e-11,117.264
14.0019,2.41017e-11,115.988
14.0819,2.5305e-11,125.236
14.1619,2.55505e-11,124.12
14.2419,2.46987e-11,132.743
14.3219,2.46439e-11,127.226
14.4019,2.44676e-11,141.787
14.4819,2.49347e-11,143.756
14.5619,2.5582e-11,146.122
14.642,2.55583e-11,142.872
14.722,2.51621e-11,129.777
14.802,2.41276e-11,126.025
14.882,2.4599e-11,111.782
14.962,2.52375e-11,130.698
15.042,2.58822e-11,136.905
15.122,2.55828e-11,129.504
15.202,2.54672e-11,123.328
15.282,2.45533e-11,123.883
15.362,2.44312e-11,122.997
15.4421,2.50708e-11,118.315
15.5221,2.59039e-11,131.327
15.6021,2.57079e-11,130.166
15.6821,2.53442e-11,128.903
15.7621,2.42547e-11,113.377
15.8421,2.44782e-11,134.1
15.9221,2.45782e-11,135.023
16.0021,2.58394e-11,133.41
16.0821,2.45863e-11,138.749
16.1622,2.53961e-11,129.875
16.2422,2.37678e-11,118.134
16.3222,2.38827e-11,124.211
16.4022,2.47256e-11,145.539
16.4822,2.55898e-11,139.971
16.5622,2.56268e-11,128.308
16.6422,2.52191e-11,130.532
16.7222,2.34403e-11,141.044
16.8022,2.4323e-11,115.538
16.8823,2.5337e-11,133.364
16.9623,2.49414e-11,131.221
17.0423,2.49876e-11,131.281
17.1223,2.4534e-11,119.243
17.2023,2.46233e-11,125.69
17.2823,2.46182e-11,116.842
17.3623,2.57489e-11,140.581
17.4423,2.51478e-11,126.667
17.5223,2.49983e-11,125.86
17.6023,2.46694e-11,125.853
17.6824,2.43934e-11,140.059
17.7624,2.4744e-11,134.615
17.8424,2.5995e-11,132.686
17.9224,2.4666e-11,121.662
18.0024,2.47775e-11,124.209
18.0824,2.38345e-11,143.628
18.1624,2.4522e-11,127.369
18.2424,2.48055e-11,127.94
18.3224,2.54953e-11,133.873
18.4025,2.54982e-11,134.956
18.4825,2.49296e-11,129.302
18.5625,2.35766e-11,112.045
18.6425,2.43977e-11,118.247
18.7225,2.50737e-11,127.17
18.8025,2.52985e-11,125.249
18.8825,2.52257e-11,129.769
18.9625,2.41855e-11,125.262
19.0425,2.46356e-11,116.561
19.1225,2.54779e-11,132.47
19.2026,2.58654e-11,141.885
19.2826,2.54501e-11,138.734
19.3626,2.52584e-11,120.98
19.4426,2.37842e-11,131.178
19.5226,2.43573e-11,136.207
19.6026,2.46811e-11,129.053
19.6826,2.56333e-11,126.58
19.7626,2.56922e-11,129.533
19.8426,2.49999e-11,117.045
19.9227,2.34927e-11,124.601
20.0027,2.40843e-11,118.038
20.0827,2.53169e-11,122.544
20.1627,2.52467e-11,124.217
20.2427,2.51589e-11,118.838
20.3227,2.45319e-11,119.003
20.4027,2.43873e-11,120.699
20.4827,2.49706e-11,127.097
20.5627,2.57628e-11,131.822
20.6428,2.45614e-11,128.185
20.7228,2.49775e-11,134.368
20.8028,2.37302e-11,122.694
20.8828,2.42432e-11,124.999
