时间(s),电容(F),品质因素(Q)
0,2.55196e-11,121.349
0.0800053,2.33838e-11,140.116
0.160011,2.32395e-11,137.539
0.240016,2.58182e-11,130.877
0.320021,2.70794e-11,127.418
0.400027,2.33588e-11,110.841
0.480032,2.31918e-11,124.145
0.560037,2.5843e-11,152.569
0.640043,2.63176e-11,141.974
0.720048,2.3283e-11,138.937
0.800053,2.33103e-11,131.336
0.880059,2.58914e-11,124.16
0.960064,2.56771e-11,126.488
1.04007,2.31991e-11,126.983
1.12007,2.39197e-11,118.313
1.20008,2.59683e-11,141.582
1.28009,2.54091e-11,153.778
1.36009,2.32273e-11,140.767
1.4401,2.43919e-11,111.504
1.5201,2.66334e-11,122.855
1.60011,2.68353e-11,167.685
1.68011,2.31297e-11,114.433
1.76012,2.4963e-11,132.265
1.84012,2.64517e-11,117.755
1.92013,2.69503e-11,136.301
2.00013,2.31954e-11,135.853
2.08014,2.48709e-11,112.176
2.16014,2.64848e-11,138.08
2.24015,2.68763e-11,146.458
2.32015,2.31628e-11,106.736
2.40016,2.57005e-11,141.26
2.48017,2.68252e-11,142.707
2.56017,2.68484e-11,126.673
2.64018,2.31629e-11,105.241
2.72018,2.53803e-11,181.872
2.80019,2.70059e-11,118.696
2.88019,2.35685e-11,136.769
2.9602,2.31221e-11,134.452
3.0402,2.57978e-11,129.426
3.12021,2.65744e-11,149.824
3.20021,2.33358e-11,135.166
3.28022,2.3514e-11,138.373
3.36022,2.62874e-11,147.398
3.44023,2.59456e-11,106.239
3.52023,2.32155e-11,132.665
3.60024,2.37818e-11,116.697
3.68025,2.71239e-11,132.916
3.76025,2.64698e-11,133.136
3.84026,2.31606e-11,102.696
3.92026,2.57874e-11,148.471
4.00027,2.66321e-11,137.042
4.08027,2.32991e-11,101.157
4.16028,2.35373e-11,177.813
4.24028,2.63389e-11,173.37
4.32029,2.69969e-11,150.202
4.40029,2.31662e-11,131.182
4.4803,2.52284e-11,120.019
4.5603,2.71904e-11,123.906
4.64031,2.49421e-11,130.133
4.72031,2.31236e-11,143.593
4.80032,2.58521e-11,123.587
4.88033,2.70628e-11,132.586
4.96033,2.33756e-11,130.077
5.04034,2.30962e-11,125.762
5.12034,2.62165e-11,113.897
5.20035,2.54892e-11,169.479
5.28035,2.32125e-11,144.794
5.36036,2.48985e-11,163.121
5.44036,2.66797e-11,130.93
5.52037,2.64752e-11,123.394
5.60037,2.31228e-11,112.628
5.68038,2.57346e-11,123.748
5.76038,2.70623e-11,122.16
5.84039,2.34123e-11,140.884
5.92039,2.30758e-11,113.474
6.0004,2.58826e-11,168.435
6.08041,2.6955e-11,130.333
6.16041,2.33656e-11,153.858
6.24042,2.31362e-11,159.332
6.32042,2.60016e-11,122.138
6.40043,2.63681e-11,133.847
6.48043,2.32536e-11,103.332
6.56044,2.33132e-11,135.746
6.64044,2.61143e-11,126.822
6.72045,2.57705e-11,149.313
6.80045,2.32227e-11,136.03
6.88046,2.39301e-11,121.906
6.96046,2.63821e-11,118.574
7.04047,2.69169e-11,159.671
7.12047,2.32061e-11,108.26
7.20048,2.56367e-11,108.78
7.28049,2.66366e-11,118.629
7.36049,2.34065e-11,148.381
7.4405,2.30541e-11,108.26
7.5205,2.56233e-11,155.256
7.60051,2.60634e-11,120.764
7.68051,2.32661e-11,117.354
7.76052,2.35798e-11,115.266
7.84052,2.63735e-11,133.411
7.92053,2.65472e-11,190.639
8.00053,2.31741e-11,109.203
8.08054,2.47145e-11,115.181
8.16054,2.70795e-11,135.594
8.24055,2.38714e-11,119.529
8.32055,2.31041e-11,149.265
8.40056,2.59365e-11,112.337
8.48057,2.64811e-11,114.921
8.56057,2.33078e-11,105.063
8.64058,2.35221e-11,105.425
8.72058,2.61497e-11,129
8.80059,2.53126e-11,123.376
8.88059,2.32198e-11,128.954
8.9606,2.52135e-11,143.197
9.0406,2.66154e-11,116.671
9.12061,2.66433e-11,141.193
9.20061,2.31913e-11,121.428
9.28062,2.56913e-11,141.708
9.36062,2.70451e-11,134.276
9.44063,2.48737e-11,121.138
9.52063,2.30988e-11,131.293
9.60064,2.57056e-11,155.011
9.68065,2.65168e-11,110.096
9.76065,2.33008e-11,147.356
9.84066,2.34941e-11,102.575
9.92066,2.59177e-11,155.781
10.0007,2.63622e-11,144.677
10.0807,2.31498e-11,122.093
10.1607,2.50718e-11,119.796
10.2407,2.66334e-11,159.444
10.3207,2.50577e-11,115.965
10.4007,2.30936e-11,113.734
10.4807,2.58785e-11,127.818
10.5607,2.54674e-11,108.062
10.6407,2.31731e-11,149.061
10.7207,2.45226e-11,118.205
10.8007,2.69661e-11,163.064
10.8807,2.34602e-11,132.669
10.9607,2.31281e-11,116.744
11.0407,2.59558e-11,154.577
11.1207,2.62091e-11,147.616
11.2007,2.32386e-11,110.11
11.2808,2.34079e-11,111.799
11.3608,2.63979e-11,162.473
11.4408,2.55478e-11,147.38
11.5208,2.31426e-11,116.948
11.6008,2.56611e-11,191.845
11.6808,2.67194e-11,143.954
11.7608,2.32599e-11,101.736
11.8408,2.33874e-11,113.58
11.9208,2.57996e-11,171.836
12.0008,2.58254e-11,114.629
12.0808,2.31853e-11,133.463
12.1608,2.51289e-11,140.692
12.2408,2.69054e-11,161.022
12.3208,2.35937e-11,123.052
12.4008,2.30915e-11,145.049
12.4808,2.58804e-11,137.29
12.5608,2.55592e-11,117.139
12.6408,2.31746e-11,114.946
12.7208,2.41642e-11,134.752
12.8009,2.66759e-11,133.473
12.8809,2.53113e-11,154.895
12.9609,2.3097e-11,132.345
13.0409,2.61494e-11,156.916
13.1209,2.70122e-11,165.874
13.2009,2.3317e-11,140.54
13.2809,2.30634e-11,141.197
13.3609,2.58053e-11,129.844
13.4409,2.58652e-11,132.833
13.5209,2.32502e-11,131.357
13.6009,2.37232e-11,123.447
13.6809,2.65466e-11,154.948
13.7609,2.56697e-11,111.506
13.8409,2.31214e-11,139.035
13.9209,2.60715e-11,127.835
14.0009,2.70782e-11,153.966
14.0809,2.33767e-11,109.33
14.1609,2.30646e-11,109.564
14.2409,2.58647e-11,128.806
14.321,2.54012e-11,113.777
14.401,2.31864e-11,139.888
14.481,2.43419e-11,146.188
14.561,2.70537e-11,158.801
14.641,2.34665e-11,106.388
14.721,2.30482e-11,115.431
14.801,2.56307e-11,182.902
14.881,2.57707e-11,129.691
14.961,2.32292e-11,109.017
15.041,2.38589e-11,117.931
15.121,2.64747e-11,136.759
15.201,2.56274e-11,146.895
15.281,2.31189e-11,137.717
15.361,2.55569e-11,131.284
15.441,2.66899e-11,140.954
15.521,2.33012e-11,119.987
15.601,2.3272e-11,126.146
15.681,2.61391e-11,140.977
15.7611,2.6541e-11,163.801
15.8411,2.30965e-11,142.722
15.9211,2.57278e-11,155.908
16.0011,2.65072e-11,134.637
16.0811,2.33009e-11,136.633
16.1611,2.33017e-11,130.443
16.2411,2.60087e-11,183.244
16.3211,2.57133e-11,117.824
16.4011,2.31553e-11,108.835
16.4811,2.50666e-11,113.672
16.5611,2.68627e-11,165.146
16.6411,2.34846e-11,127.906
16.7211,2.31316e-11,114.183
16.8011,2.57161e-11,151.385
16.8811,2.57668e-11,110.036
16.9611,2.31946e-11,144.14
17.0411,2.39751e-11,113.35
17.1211,2.70771e-11,167.373
17.2011,2.34062e-11,108.848
17.2812,2.30632e-11,141.671
17.3612,2.55267e-11,151.661
17.4412,2.52937e-11,105.444
17.5212,2.31635e-11,116.237
17.6012,2.51572e-11,132.779
17.6812,2.70971e-11,117.549
17.7612,2.3365e-11,124.084
17.8412,2.31294e-11,112.007
